fftn_s_,alt,speed,heading,climb,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,air_tmp,air_gas,air_hmd,ar_prss,wtr_tmp,leg,index,date_time,lon,lat,chunk
1567129050,453.7,0.026,210.82000000000002,0.3,-2.706282360599999,0.8087740388,9.125028985099998,1.09375,1.61875,-0.665,20.9989453125,1283397,57.0154482101832,963.3304390680648,18.561999999999998,0,1,2019-08-30T01:37:30Z,-95.19606833299999,47.22797500000001,1
1567133145,445.6,0.031,216.86,0,-1.6366906584,0.3218346397,9.349954309500001,1.35625,0.79625,-0.90125,13.2262890625,724677,63.03591030529776,963.6574077707735,12.25,0,31,2019-08-30T02:45:45Z,-95.19617833299998,47.227843333,1
1567136370,465.79999999999995,3.676,139.39,0,-1.673480305875,-0.014057832775,9.382556517425002,1.12,1.18125,-0.616875,16.17990234375,1469153.5,57.94996964236961,964.1907979700875,19.875,0,61,2019-08-30T03:39:30Z,-95.19465249999999,47.22684083300001,1
1567137405,455.5,0.046,148.55,0,-1.550848147625,0.287138712,9.367003170524999,1.12875,1.194375,-0.5775,19.24064453125,1256429,56.613368553195926,964.5909777625691,16.5625,0,91,2019-08-30T03:56:45Z,-95.196091667,47.227850000000004,1
1567182000,433.8,0.005,170.60999999999999,0,-1.66241350135,0.0287138712,9.363114833800003,-0.14875,1.645,-0.7175,21.6034375,775216,58.11301078299503,974.1656488766872,17.937,0,121,2019-08-30T16:20:00Z,-95.18272499999999,47.34912,1
1567182450,427.8,0.669,53.89,0,-1.6941184008,-0.17527425545,9.594620420349997,1.86375,2.09125,0.09625,30.207734374999998,335420,42.99524023188992,974.2514603902081,19.061999999999998,0,151,2019-08-30T16:27:30Z,-95.18032999999998,47.349423333,1
1567182900,421.2,1.327,71.49000000000001,0,-1.6438691262,0.08673981925,9.345766869950001,2.24,3.9025,0.93625,34.03644531250001,301467,39.44035667303336,974.472455735547,21.061999999999998,0,181,2019-08-30T16:35:00Z,-95.17872333299998,47.35166666699998,1
1567183350,422,0.949,86.17500000000001,0,-1.761416536425,0.068494546925,9.355637263175002,-1.68875,3.78,5.34625,36.428828124999995,284845.5,38.36038872731472,974.3119147302733,20.9375,0,211,2019-08-30T16:42:30Z,-95.17626999999999,47.35432416649999,1
1567183800,425.35,0.18,8.235,0,-1.734796385,0.1962114532,9.378967283525004,1.133125,4.27875,1.465625,38.327753906249995,270952,37.06704351176542,974.4903503245657,22.781,0,241,2019-08-30T16:50:00Z,-95.17576583349998,47.35614749999999,1
1567184250,424.45,0.697,57.08,0.05,-1.778764500275,-0.763011306575,9.471390056450002,1.75875,5.512500000000001,0.9975,40.260273437500004,265404,34.700054930863715,974.5403208517274,23.281,0,271,2019-08-30T16:57:30Z,-95.17356249999999,47.356984999999995,1
1567184700,424,0.841,59.02,0,-1.80119721215,0.0514456859,9.459425943450002,-1.3475,5.118749999999999,4.007499999999999,41.761640625,263920,32.9786176080322,974.6136097910261,22.5,0,301,2019-08-30T17:05:00Z,-95.17211333299998,47.35908499999999,1
1567185150,427.55,1.512,295.48,-0.05,-1.651944902475,-0.74955167945,9.328119803274998,-0.5775,3.976875000000001,3.040625,41.49943359374999,275352.5,33.2472207135139,974.5891077101205,21.406,0,331,2019-08-30T17:12:30Z,-95.17078833299999,47.36154416699999,1
1567185600,425.7,0.0075,192.405,0,-1.715952907025,-0.2691925425,9.277571425849999,0.93625,4.217500000000001,0.371875,42.156757812500004,281807,32.71504661984747,974.4603178317667,24.031,0,361,2019-08-30T17:20:00Z,-95.170906667,47.363196667,1
1567186050,427.3,0.015,92.76,0,-2.7242285301,0.11784651305,9.43789054005,1.19,6.518750000000001,1.5225,38.28546875,315870,37.21582365724882,974.3412080412219,22.937,0,391,2019-08-30T17:27:30Z,-95.17089999999999,47.363218333000006,1
1567189905,418.20000000000005,1.307,15.4,0.05,-1.731506253925,-0.75673014725,9.430712072250001,0.7525,5.38125,2.47625,43.753828125000005,856143,34.56586540375192,974.2123539715394,24.3435,0,421,2019-08-30T18:31:45Z,-95.17018583299998,47.36384916699999,1
1567190355,421.3,1.07,277.35,0,-1.962114532,-0.73639115515,8.89711263245,-3.07125,8.023750000000001,3.263750000000001,41.8934765625,766382,35.6785285057119,974.2462173502513,23.937,0,451,2019-08-30T18:39:15Z,-95.172615,47.36690166699999,1
1567190805,422,1.296,71.31,-0.1,-1.6941184008,-0.3302095188,9.539585500550002,-0.5775,5.757499999999999,-0.42,43.7887890625,375417,34.672338166578776,974.2031479330836,24.625,0,481,2019-08-30T18:46:45Z,-95.17400833299997,47.36851833300001,1
1567191255,418.7,1.775,54.63,-0.1,-1.61455704935,-0.31764720015,9.4301138666,-3.78,5.451250000000002,1.5575,45.255,316172,33.077390926409656,974.2222387777505,25.812,0,511,2019-08-30T18:54:15Z,-95.17289499999998,47.371153333,1
1567191705,421.35,1.2785,83.31,-0.1,-1.691426475375,-0.37028929735,9.450751961525,-2.288125,4.917500000000001,1.631875,46.58097656250001,284108,32.104814595874345,974.1923351484605,26.531,0,541,2019-08-30T19:01:45Z,-95.1711,47.37363499999999,1
1567192155,414.7,1.142,13.78,-0.1,-1.77607257485,-0.12263215825,9.406783846250002,0.385,4.751250000000002,0.9275,46.5102734375,273077,31.39290843135162,974.2077537985338,25,0,571,2019-08-30T19:09:15Z,-95.170223333,47.376,1
